date,time,tweet,BUENO,NEUTRAL,MALO,QUEJA,AYUDA ,AGRADECIMIENTO,OUTSTANDING ,TÓPICO 
2023-01-01,,"Resuelto, muchísimas gracias , excelente servicio como siempre",1,,,,,1,1,SERVICIO
2023-01-02,,"Muchas gracias, espero su dm",1,,,,,1,,
2023-01-02,,Muchas gracias!,1,,,,,1,,
2023-01-02,,Algo similar me paso. Quería renovar mi token para poder hacer una transferencia antes de cerrar la cuenta y wow. Fue más fácil sacar el dinero por ventanilla.,,,1,1,,,,SERVICIO
2023-01-02,,Yeeeei! a través de mi cuenta en acabo de contratar mi cuenta de ahorro con mi reto de 2023 para tener 25 mil pesos al final del año. Tiene una súper herramienta para domiciliar a mi cuenta eje y así ahorrar disciplinadamente cada semana! Vamos !!! 💪🏼💰,1,,,,,,1,SERVICIO
2023-01-02,,Esta es la señal que necesitan para tener el mínimo dinero en banamex,1,,,,,,,COMPETENCIA
2023-01-03,,Gracias 😁,1,,,,,1,,
2023-01-03,,Muchas gracias 😊,1,,,,,1,,
2023-01-03,,"Yo no sé mucho, pero te recomiendo la Inversión de . De los mejores rendimientos que he visto, y plazo a 7 días. También el de está chingón, pero tienen un límite de 20k en inversón.",1,,,,,,1,SERVICIO
2023-01-04,,Gracias por la playera que me dieron en Galerías GDL.,1,,,,,1,,EVENTOS
2023-01-04,,buen día...tengo problemas con mi cuenta,,,1,1,,,,SERVICIO
2023-01-05,,Gracias,1,,,,,1,,
2023-01-05,,Mis Respetos para ustedes... Gracias por el servicio 🙌🏻,1,,,,,1,1,SERVICIO
2023-01-05,,"Si ya la bloquee y desbloquee y pude hacer el deposito en oxxo, gracias",1,,,,,1,,SERVICIO
2023-01-06,,"Ya todo bien, gracias 👍",1,,,,,1,,
2023-01-06,,Milagro que me gano algo 🫶🏻,1,,,,,,,
2023-01-06,,Siii amigo jajaja está muy padre y puedes inveir y te da buen rendimiento 🌚,1,,,,,,1,SERVICIO
2023-01-06,,nunca había ganado nada antes ✨ hahaha,1,,,,,,,
2023-01-06,,Con el CashBack de pude pagar mi servicio de internet. yei :),1,,,,,,,SERVICIO
2023-01-07,,Gracias!!!,1,,,,,1,,
2023-01-07,,"Listo, gracias",1,,,,,1,,
2023-01-07,,Si gracias,1,,,,,1,,
2023-01-08,,A mí me llegó una semana después aprox,,1,,,,,,
2023-01-09,,hola buen día tengo algunas dudas con mi cuenta podrían ponerse en contacto... Muchas gracias..,,1,,,1,,,SERVICIO
2023-01-10,,Muchas gracias!,1,,,,,1,,
2023-01-10,,Muchas gracias 🙏,1,,,,,1,,
2023-01-10,,"Bloquea la tarjeta 5 minutos o más, posteriomente la vuelves a desbloquear y ya la agregas. Esa es la solución, me confirmas con un tweet por favor.",,1,,,,,,
2023-01-10,,"Es de 35,000 UDIS (184,000).De todas las plataformas en las que he inveido las mejores son Finsus y cetes para largo plazo y HeyBanco es para mi la mejor opción para tu fondo de emergencia , ya que tienes liquidez semanal. En Finsus tengo al rededor del 90% de mi poafolio.",1,,,,,,1,COMPETENCIA
2023-01-11,,Excelente Gracias por responder 🙏 estaremos muy atentos 🤝,1,,,,,1,,
2023-01-11,,"Pues bueno, me quedé sin cena, muchas gracias 👍",,,1,1,,,,
2023-01-11,,"Gracias e igualmente, bendiciones 🙏",1,,,,,1,,
2023-01-11,,Vale estoy esperando,,1,,,,,,
2023-01-11,,Muchas gracias espero la respuesta,1,,,,,1,,
2023-01-13,,Me gané 99 pesitos de crédito en Amazon coesía de Qué agradables sujetos 😁,1,,,,,1,,
2023-01-13,,es mejor,,1,,,,,,
2023-01-13,,Contéstenme por favor,,1,,1,1,,,
2023-01-14,,Muchas gracias que amables 😊,1,,,,,1,,
2023-01-14,,"heybanco muchos años como cliente de bancomer y me encontre con y la verdad estoy muy agusto con los servicios, la app y las tarjetas debito y credito",1,,,,,1,,SERVICIO
2023-01-14,,amigos les mandé dm gracias,,1,,,,,,
2023-01-14,,solicito su ayuda gracias,,1,,,1,,,
2023-01-15,,Gracias!Ya respondí.Quedo atenta,1,1,,,,1,,
2023-01-16,,Va gracias,1,,,,,1,,
2023-01-16,,No sé ni a qué le piqué pero muchas gracias😂❤️,1,,,,,1,,
2023-01-16,,"Planeación de temporada 2023 de los equipos, gracias a por la ocnfianza desde el día 1 y se viene la bomba de patrocinio con vamos por el doblete!!!}@DavilaCarloss",,1,,,,,,
2023-01-16,,Por eso son mi banco 1 ⭐⭐⭐⭐⭐,1,,,,,,1,
2023-01-17,,Gracias,1,,,,,1,,
2023-01-17,,Thanks!,1,,,,,1,,
2023-01-17,,Muchas gracias!,1,,,,,1,,
2023-01-17,,"Muchas gracias, me ayudó lo suficiente, el cargo ya no procedió, se poaron muy bn aun cuando no me pude comunicar por teléfono, fueron muy amables, mil gracias por su interés se hizo cargo de todo",1,,,,,1,1,SERVICIO
2023-01-17,,"Increíble, gracias HeyBanco!!@heybanco",1,,,,,1,,
2023-01-17,,Me contestaron que sí.,,1,,,,,,
2023-01-18,,Gracias,1,,,,,1,,
2023-01-18,,Gracias!,1,,,,,1,,
2023-01-18,,Graciaaas.,1,,,,,1,,
2023-01-18,,"Gracias por estar al pendiente,estoy segura que se va a poner las pilas para que lleguen los incentivos, si no estaré pidiendo su apoyo.",1,,,,,1,,
2023-01-18,,"💰La sexta opción está opción es de las mejores, su pagaré a 7 días es el mejor del mercado con tasa del 10% anual solo que la inversión aquí es desde $5,000, tiene un plan de metas que te dan rendimiento a mes vencido del 4% y tú dinero disponible en cualquier momento",1,,,,,,,COMPETENCIA
2023-01-18,,🇬🇹 qué buena onda por vos David 👏👏 a disfrutarlo!!!,,1,,,,,,
2023-01-19,,¡Gracias,1,,,,,1,,
2023-01-19,,"¡Hola!, me pueden apoyar por favor 😬",,1,,,1,,,
2023-01-19,,"Eso se agradece, el aviso 👏🏼👏🏼👏🏼👏🏼👏🏼",1,,,,,1,,
2023-01-19,,"Gracias, ya se ve reflejado. Solucionado. Gracias",1,,,,,1,,
2023-01-20,,"Listo, gracias!",1,,,,,1,,
2023-01-20,,Muchas gracias!,1,,,,,1,,
2023-01-20,,Los tkm ♥️,1,,,,,,,
2023-01-20,,"Coesía de Anímense a sacar cuenta de Hey, muchas gracias por el regalo c:@nei_aokii",1,,,,,1,,
2023-01-20,,Cof cof también ❤️❤️,1,,,,,,,
2023-01-20,,te lo súper recomiendo. Y no te cobran el plástico.,1,,,,,,,SERVICIO
2023-01-20,,"Afounadamente, en México tenemos , que nos da el 10% de lo que tenemos en la cuenta! 👌🏼",1,,,,,,,SERVICIO
2023-01-21,,"Muchas gracias por darme respuesta, ya se solucionó mi problema, excelente día!",1,,,,,1,,
